id,team,wiki,region,country,village,kind,section,application,isRemote,year
5139,Concordia-Montreal,https://2024.igem.wiki/concordia-montreal,north-america,CAN,Bioremediation,collegiate,overgrad,accepted,FALSE,2024
5785,Concordia-Montreal,,north-america,CAN,,collegiate,collegiate,pending,,2025
5165,Concordia-Shanghai,https://2024.igem.wiki/concordia-shanghai,asia,CHN,Biomanufacturing,high-school,high-school,accepted,FALSE,2024
5594,Concordia-Shanghai,,asia,CHN,,high-school,high-school,pending,,2025
534,CongoDRC-Bel_Campus,https://2011.igem.org/Team:CongoDRC-Bel_Campus,africa,COD,,collegiate,collegiate,withdrawn,FALSE,2011
1035,CONGO_RD-NPS,https://2013.igem.org/Team:CONGO_RD-NPS,africa,COD,,collegiate,overgrad,deleted,FALSE,2013
1552,CONGO_RD-NPS,https://2014.igem.org/Team:CONGO_RD-NPS,africa,COD,,collegiate,collegiate,deleted,FALSE,2014
998,Consort_Alberta,https://2013.igem.org/Team:Consort_Alberta,north-america,CAN,,high-school,high-school,accepted,FALSE,2013
1267,Consort_Alberta,https://2014.igem.org/Team:Consort_Alberta,north-america,CAN,,high-school,high-school,accepted,FALSE,2014
1834,Consort_Alberta,https://2015.igem.org/Team:Consort_Alberta,north-america,CAN,High School,high-school,high-school,accepted,FALSE,2015
5130,Cool-Guys,,asia,KOR,,high-school,high-school,deleted,,2024
1354,Cooper_Union,https://2014.igem.org/Team:Cooper_Union,north-america,USA,Foundational Advance,collegiate,undergrad,accepted,FALSE,2014
1746,Cooper_Union,https://2015.igem.org/Team:Cooper_Union,north-america,USA,Hardware,collegiate,undergrad,accepted,FALSE,2015
527,Copenhagen,https://2011.igem.org/Team:Copenhagen,europe,DNK,Manufacturing,collegiate,collegiate,accepted,FALSE,2011
770,Copenhagen,https://2012.igem.org/Team:Copenhagen,europe,DNK,Environment,collegiate,collegiate,accepted,FALSE,2012
1698,Cork_Ireland,https://2015.igem.org/Team:Cork_Ireland,europe,IRL,Health & Medicine,collegiate,undergrad,accepted,FALSE,2015
285,Cornell,https://2009.igem.org/Team:Cornell,north-america,USA,Environment,collegiate,collegiate,accepted,FALSE,2009
399,Cornell,https://2010.igem.org/Team:Cornell,north-america,USA,Health & Medicine,collegiate,collegiate,accepted,FALSE,2010
